id,commune,code_postal,niveau_prix,nombre_habitants_par_commune,annee_habitants,annee_consommation,consommation_totale,consommation_moyenne,gaz,created_at,updated_at
39,"Valserhône",01200,2,16162,2022,2024,15608.11906,15.2870901665034,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
40,Belley,01300,6,8761,2011,2024,10730.09183,8.85321108085808,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
41,Belley,01300,6,9133,2016,2024,10730.09183,8.85321108085808,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
42,Belley,01300,6,9270,2022,2024,10730.09183,8.85321108085808,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
43,Bettant,01500,4,731,2011,2024,1274.31608,11.799222962963,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
44,Bettant,01500,4,750,2016,2024,1274.31608,11.799222962963,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
45,Bettant,01500,4,762,2022,2024,1274.31608,11.799222962963,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
46,Beynost,01700,1,4471,2011,2024,11920.65338,10.223544922813,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
47,Beynost,01700,1,4557,2016,2024,11920.65338,10.223544922813,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
48,Beynost,01700,1,4936,2022,2024,11920.65338,10.223544922813,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
49,Blyes,01150,3,907,2011,2024,1955.93294,9.09736251162791,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
50,Blyes,01150,3,993,2016,2024,1955.93294,9.09736251162791,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
51,Blyes,01150,3,1351,2022,2024,1955.93294,9.09736251162791,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
52,"La Boisse",01120,1,2908,2011,2024,5962.55113,11.0828087918216,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
53,"La Boisse",01120,1,3021,2016,2024,5962.55113,11.0828087918216,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
54,"La Boisse",01120,1,3401,2022,2024,5962.55113,11.0828087918216,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
55,Bourg-en-Bresse,01000,3,39882,2011,2023,26433.55,26433.55,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
56,Bourg-en-Bresse,01000,3,41365,2016,2023,26433.55,26433.55,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
57,Bourg-en-Bresse,01000,3,42065,2022,2023,26433.55,26433.55,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
